City,Area Code
Agra,562
Ahmadabad,79
Aligarh,571
Allahabad,532
Amravati,721
Amritsar,183
Asansol,341
Aurangabad,240
Bangalore,80
Bareilly,581
Belgaum,831
Bhavnagar,278
Bhilai,788
Bhiwandi,2522
Bhopal,755
Bhubaneswar,674
Bikaner,151
Calcutta,33
Calicut,495
Chandigarh,172
Coimbatore,422
Cuttack,671
Dehradun,135
Delhi,11
Dhanbad,326
Faizabad,5278
Faridabad,129
Ghaziabad,120
Gorakhpur,551
Guntur,863
Gurgaon,124
Guwahati,361
Gwalior,751
Hubli-Dharwad,836
Hyderabad,40
Indore,731
Jabalpur,761
Jaipur,141
Jalandhar,181
Jammu,191
Kannur,497
Jamshedpur,657
Jodhpur,291
Kanpur,512
Kochi,484
Kollam (Quilon),474
Kota,744
Lucknow,522
Ludhiana,161
Madurai,452
Malappuram,483
Mangalore,824
Meerut,121
Moradabad,591
Mysore,821
Mumbai,22
Nagpur,712
Nasik,253
Noida,120
Patna,612
Puducherry,413
Pune,20
Raipur,771
Rajkot,281
Ranchi,651
Saharanpur,132
Salem,427
Siliguri,353
Solapur,217
Srinagar,194
Surat,261
Thrissur,487
Tiruchirappalli (Trichy),431
Tiruppur,421
Trivandrum,471
Vadodara,265
Varanasi,542
Vasai-Virar,250
Vijayawada,866
Visakhapatnam,891
Warangal,870
