id,learner_userid,course_cat_id,course_id,module_id,activity_id,active,type,timecreated,timemodified
1,64,17,16,0,0,1,learning,"2022-04-26 23:07:00","2022-04-26 23:07:00"
2,67,17,16,0,0,1,learning,"2022-04-26 23:34:57","2022-04-26 23:34:57"
3,64,17,16,0,0,1,learning,"2022-04-26 23:44:55","2022-04-26 23:44:55"
4,69,17,16,0,0,1,learning,"2022-04-26 23:55:26","2022-04-26 23:55:26"
5,69,17,16,0,0,1,learning,"2022-04-27 01:22:41","2022-04-27 01:22:41"
6,69,17,16,0,0,1,learning,"2022-04-28 22:27:33","2022-04-28 22:27:33"
7,70,17,16,0,0,1,learning,"2022-04-29 02:51:32","2022-04-29 02:51:32"
8,69,17,16,0,0,1,learning,"2022-04-29 19:21:30","2022-04-29 19:21:30"
9,28853,17,16,0,0,1,learning,"2022-04-30 01:43:31","2022-04-30 01:43:31"
10,28853,17,16,0,0,1,learning,"2022-04-30 01:45:26","2022-04-30 01:45:26"
11,69,18,62,0,0,1,learning,"2022-04-30 02:43:26","2022-04-30 02:43:26"
12,69,17,16,0,0,1,learning,"2022-04-30 10:31:08","2022-04-30 10:31:08"
13,69,17,16,0,0,1,learning,"2022-05-01 22:29:06","2022-05-01 22:29:06"
14,69,17,16,0,0,1,learning,"2022-05-01 23:35:20","2022-05-01 23:35:20"
15,69,17,16,0,0,1,learning,"2022-05-01 23:41:17","2022-05-01 23:41:17"
16,69,17,16,11,1,1,learning,"2022-05-02 00:29:30","2023-01-21 02:46:40"
17,69,17,16,18,44,1,learning,"2022-05-04 21:44:03","2023-01-07 00:36:02"
18,69,17,16,0,0,1,learning,"2022-05-04 21:45:09","2022-05-04 21:45:09"
19,69,17,16,18,1,1,learning,"2022-05-05 01:34:39","2022-05-07 09:35:20"
20,69,17,16,18,19,1,learning,"2022-05-05 01:37:33","2022-06-07 22:34:35"
21,69,17,16,18,17,1,learning,"2022-05-05 01:38:42","2022-05-06 23:49:21"
22,29227,17,16,18,15,1,learning,"2022-05-05 02:00:26","2022-05-25 03:28:04"
23,71,17,16,18,13,1,learning,"2022-05-05 02:03:18","2022-05-06 04:23:24"
24,29228,17,16,18,11,1,learning,"2022-05-05 02:19:10","2022-06-06 00:55:35"
25,69,21,49,18,9,1,learning,"2022-05-05 02:33:39","2022-07-01 05:55:29"
26,69,17,16,18,8,1,learning,"2022-05-05 02:34:37","2022-06-27 00:28:13"
27,69,21,49,0,0,1,learning,"2022-05-05 02:34:48","2022-05-05 02:34:48"
28,29233,17,17,18,3,1,learning,"2022-05-05 05:12:38","2022-05-29 03:46:48"
29,29233,17,16,0,0,1,learning,"2022-05-05 05:13:49","2022-05-05 05:13:49"
30,29233,17,17,0,0,1,learning,"2022-05-05 05:14:12","2022-05-05 05:14:12"
31,29234,17,16,0,0,1,learning,"2022-05-05 05:21:40","2022-05-05 05:21:40"
32,29234,17,16,0,0,1,learning,"2022-05-05 05:22:06","2022-05-05 05:22:06"
33,29234,17,16,0,0,1,learning,"2022-05-05 05:24:32","2022-05-05 05:24:32"
34,29236,17,17,0,0,1,learning,"2022-05-05 05:45:51","2022-05-05 05:45:51"
35,29245,17,16,0,0,1,learning,"2022-05-05 06:17:43","2022-05-05 06:17:43"
36,29244,17,16,0,0,1,learning,"2022-05-05 06:18:23","2022-05-05 06:18:23"
37,29247,17,17,0,0,1,learning,"2022-05-05 06:20:29","2022-05-05 06:20:29"
38,29247,17,17,0,0,1,learning,"2022-05-05 06:20:47","2022-05-05 06:20:47"
39,29247,17,17,0,0,1,learning,"2022-05-05 06:21:08","2022-05-05 06:21:08"
40,29247,17,17,0,0,1,learning,"2022-05-05 06:21:08","2022-05-05 06:21:08"
41,29247,17,17,0,0,1,learning,"2022-05-05 06:21:30","2022-05-05 06:21:30"
42,29243,17,16,0,0,1,learning,"2022-05-05 06:25:11","2022-05-05 06:25:11"
43,29243,17,17,0,0,1,learning,"2022-05-05 06:25:19","2022-05-05 06:25:19"
44,29250,17,17,0,0,1,learning,"2022-05-05 06:26:23","2022-05-05 06:26:23"
