id	course	module	instance	section	idnumber	added	score	indent	visible	visibleoncoursepage	visibleold	groupmode	groupingid	completion	completiongradeitemnumber	completionview	completionexpected	showdescription	availability	deletioninprogress
1	2	9	1	1	NULL	1641298023	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
2	2	24	1	2		1641302784	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
15	15	9	14	67	NULL	1641370941	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
16	16	9	15	72	NULL	1641371024	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
17	17	9	16	77	NULL	1641371069	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
18	18	9	17	82	NULL	1641371112	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
19	19	9	18	87	NULL	1641371209	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
20	20	9	19	92	NULL	1641371281	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
21	21	9	20	97	NULL	1641371339	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
22	22	9	21	102	NULL	1641371394	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
23	23	9	22	107	NULL	1641371443	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
24	24	9	23	112	NULL	1641371491	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
25	25	9	24	117	NULL	1641371539	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
26	26	9	25	122	NULL	1641371609	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
27	27	9	26	127	NULL	1641371695	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
28	28	9	27	132	NULL	1641371765	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
29	16	24	2	74		1641372906	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
30	16	11	1	74		1641373947	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
31	16	11	2	74		1641374045	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
32	16	11	3	74		1641374092	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
33	16	24	3	74		1641382451	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
34	29	9	28	137	NULL	1641463306	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
35	29	11	4	138		1641463442	0	0	1	1	1	0	0	1	NULL	0	0	0	NULL	0
36	29	11	5	138		1641667835	0	0	1	1	1	0	0	1	NULL	0	0	1	NULL	0
37	30	9	29	142	NULL	1641682234	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
38	31	9	30	147	NULL	1641682340	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	1
39	32	9	31	152	NULL	1641682465	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
40	33	9	32	157	NULL	1641682539	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
41	34	9	33	162	NULL	1641682639	0	0	1	1	1	0	0	0	NULL	0	0	0	NULL	0
