id	coursemoduleid	userid	completionstate	viewed	overrideby	timemodified
1	35	4	1	0	NULL	1641465316
2	36	4	1	0	NULL	1642676481
3	48	2	1	0	NULL	1644581225
6	173	91	1	0	NULL	1649486858
7	193	91	1	0	NULL	1649486882
8	84	91	1	0	NULL	1650265491
9	189	29272	1	0	NULL	1651759462
10	189	29578	1	0	NULL	1651821204
11	189	29700	1	0	NULL	1651827810
12	189	29874	0	0	NULL	1651832387
13	189	29839	1	0	NULL	1651834656
14	189	29931	0	0	NULL	1651837511
15	189	29633	1	0	NULL	1651838565
16	189	30056	1	0	NULL	1651839082
17	189	30066	1	0	NULL	1651840850
18	189	30117	0	0	NULL	1651841388
19	189	30257	1	0	NULL	1651844846
20	189	29435	0	0	NULL	1651846270
21	189	30438	1	0	NULL	1651847506
22	189	30530	1	0	NULL	1651848870
23	189	29677	1	0	NULL	1651851062
24	189	30782	0	0	NULL	1651851717
25	189	30858	1	0	NULL	1651853025
26	189	30202	1	0	NULL	1651853099
27	189	30916	1	0	NULL	1651854210
28	189	31093	1	0	NULL	1651882754
29	189	31160	1	0	NULL	1651893908
30	189	31330	1	0	NULL	1651901137
31	189	31313	0	0	NULL	1651901684
32	189	30449	1	0	NULL	1651905868
33	189	31578	1	0	NULL	1651913235
34	189	30973	1	0	NULL	1651921944
35	189	32263	1	0	NULL	1651936529
36	189	31096	0	0	NULL	1651979855
37	189	32076	1	0	NULL	1651980913
38	189	30034	1	0	NULL	1651982852
39	189	31687	1	0	NULL	1651995447
40	189	32473	0	0	NULL	1652000009
41	189	32704	0	0	NULL	1652001028
42	189	32731	1	0	NULL	1652002014
43	189	32658	1	0	NULL	1652002396
44	189	32798	1	0	NULL	1652008635
45	189	32225	0	0	NULL	1658926799
46	189	32857	1	0	NULL	1652012748
47	189	32920	1	0	NULL	1652017682
48	189	32937	1	0	NULL	1652018074
49	189	32940	1	0	NULL	1652018668
50	189	32981	1	0	NULL	1652019081
51	189	33064	1	0	NULL	1652023930
52	189	33152	1	0	NULL	1652027614
53	189	33370	1	0	NULL	1652069562
54	189	33367	1	0	NULL	1652069496
55	189	33372	0	0	NULL	1652069759
56	189	33396	1	0	NULL	1652069758
57	189	33507	0	0	NULL	1652082356
58	189	33504	1	0	NULL	1652082466
59	189	33510	1	0	NULL	1652083233
60	189	33526	1	0	NULL	1652085757
61	189	11703	1	0	NULL	1652094661
62	189	33574	1	0	NULL	1652094737
63	189	31384	0	0	NULL	1654691116
64	189	33662	1	0	NULL	1652106599
65	189	32203	1	0	NULL	1652112910
66	189	33805	1	0	NULL	1652165807
67	189	34493	0	0	NULL	1652428959
68	189	32286	0	0	NULL	1652321315
69	189	32429	0	0	NULL	1652339545
70	189	32520	1	0	NULL	1658585111
71	189	34882	1	0	NULL	1652368928
72	189	34894	1	0	NULL	1652371593
73	189	31314	0	0	NULL	1652419298
74	189	34915	1	0	NULL	1652419790
75	189	34883	0	0	NULL	1655437781
76	189	32013	1	0	NULL	1652447616
77	189	33544	1	0	NULL	1652456086
78	189	35315	1	0	NULL	1652510905
79	189	35330	1	0	NULL	1652512911
80	189	35328	1	0	NULL	1652513731
81	189	34848	1	0	NULL	1652518975
82	189	35378	1	0	NULL	1652521531
83	189	34976	1	0	NULL	1654402401
84	189	33440	1	0	NULL	1652590867
85	189	35261	1	0	NULL	1652592527
86	189	29277	1	0	NULL	1652613228
87	189	35526	1	0	NULL	1652623547
88	189	35666	0	0	NULL	1652683518
89	189	35576	1	0	NULL	1652722901
90	189	32487	1	0	NULL	1652714631
91	189	29757	1	0	NULL	1653377066
92	189	34603	1	0	NULL	1652753716
93	189	35739	1	0	NULL	1652754068
94	189	30494	1	0	NULL	1652761370
95	189	33629	1	0	NULL	1652764230
96	189	35770	1	0	NULL	1652764855
97	189	35733	1	0	NULL	1652786274
98	189	32260	1	0	NULL	1652795767
99	189	34570	0	0	NULL	1652802691
100	189	35838	1	0	NULL	1652802869
101	189	35693	1	0	NULL	1652814425
102	189	33555	1	0	NULL	1652861534
103	189	35848	1	0	NULL	1652875746
104	189	35932	1	0	NULL	1652878906
105	189	34840	0	0	NULL	1652884123
106	189	35905	1	0	NULL	1652896674
107	193	1443	1	0	NULL	1652967372
108	173	1443	1	0	NULL	1652967375
109	193	35598	1	0	NULL	1652967408
110	173	35598	1	0	NULL	1652967411
111	29	1443	1	0	NULL	1652967539
112	29	35598	1	0	NULL	1652967496
113	30	35598	1	0	NULL	1652967522
114	31	35598	1	0	NULL	1652967523
115	32	35598	1	0	NULL	1652967524
116	33	35598	1	0	NULL	1652967525
117	69	35598	1	0	NULL	1652967526
118	70	35598	1	0	NULL	1652967527
119	71	35598	1	0	NULL	1652967527
120	75	35598	1	0	NULL	1652967531
121	51	35598	1	0	NULL	1652967531
122	74	35598	1	0	NULL	1652967531
123	73	35598	1	0	NULL	1652967532
124	72	35598	1	0	NULL	1652967533
125	50	35598	1	0	NULL	1652967533
126	30	1443	1	0	NULL	1652967539
127	31	1443	1	0	NULL	1652967539
128	79	35598	1	0	NULL	1652967540
129	78	35598	1	0	NULL	1652967540
130	52	35598	1	0	NULL	1652967541
131	32	1443	1	0	NULL	1652967541
132	77	35598	1	0	NULL	1652967541
133	76	35598	1	0	NULL	1652967541
134	33	1443	1	0	NULL	1652967542
135	69	1443	1	0	NULL	1652967542
136	70	1443	1	0	NULL	1652967544
137	71	1443	1	0	NULL	1652967552
138	50	1443	1	0	NULL	1652967552
139	72	1443	1	0	NULL	1652967555
140	73	1443	1	0	NULL	1652967555
141	74	1443	1	0	NULL	1652967556
142	51	1443	1	0	NULL	1652967562
143	75	1443	1	0	NULL	1652967563
144	76	1443	1	0	NULL	1652967564
145	77	1443	1	0	NULL	1652967565
146	53	35598	1	0	NULL	1652967565
147	52	1443	1	0	NULL	1652967566
148	78	1443	1	0	NULL	1652967566
149	53	1443	1	0	NULL	1652967568
150	79	1443	1	0	NULL	1652967573
151	189	1443	1	0	NULL	1652968246
152	189	35598	1	0	NULL	1652968390
153	189	30757	1	0	NULL	1652973660
154	189	35798	0	0	NULL	1653730161
155	189	36031	1	0	NULL	1653052528
156	189	36058	1	0	NULL	1653053938
157	173	15479	1	0	NULL	1653055313
158	189	35304	0	0	NULL	1653058896
159	189	36052	0	0	NULL	1653102245
160	189	36161	1	0	NULL	1653120871
161	189	36150	1	0	NULL	1653124862
162	189	30534	1	0	NULL	1655370104
163	173	361	1	0	NULL	1653134971
164	189	36268	1	0	NULL	1653136245
165	189	36373	1	0	NULL	1653215845
166	29	11208	1	0	NULL	1653227228
167	30	11208	1	0	NULL	1653228039
168	32	11208	1	0	NULL	1653228433
169	31	11208	1	0	NULL	1653228441
170	74	11208	1	0	NULL	1653228899
171	33	11208	1	0	NULL	1653229074
172	69	11208	1	0	NULL	1653229076
173	70	11208	1	0	NULL	1653229077
174	71	11208	1	0	NULL	1653229079
175	50	11208	1	0	NULL	1653229080
176	73	11208	1	0	NULL	1653229701
177	72	11208	1	0	NULL	1653229702
178	173	11208	1	0	NULL	1653229769
179	193	11208	1	0	NULL	1653229876
180	189	36350	1	0	NULL	1653284083
181	189	36419	1	0	NULL	1653361890
182	189	36541	1	0	NULL	1653573717
183	189	36607	0	0	NULL	1653486178
184	189	36611	1	0	NULL	1656574146
185	189	35741	1	0	NULL	1653546229
186	189	33430	1	0	NULL	1653565479
187	189	29840	1	0	NULL	1653569966
188	30	23129	1	0	NULL	1653571804
189	189	31390	0	0	NULL	1653623136
190	29	369	1	0	NULL	1653635633
191	126	369	1	0	NULL	1653635645
192	125	369	1	0	NULL	1653635647
193	127	369	1	0	NULL	1653635649
194	129	369	1	0	NULL	1653635653
195	128	369	1	0	NULL	1653635656
196	194	369	1	0	NULL	1653635657
197	195	369	1	0	NULL	1653635659
198	123	369	1	0	NULL	1653635664
199	124	369	1	0	NULL	1653635666
200	29	23129	1	0	NULL	1653665800
201	189	36054	0	0	NULL	1653714508
202	189	36759	1	0	NULL	1653735865
203	189	36777	1	0	NULL	1653803014
204	189	32767	1	0	NULL	1653820954
205	189	36670	1	0	NULL	1653823700
206	189	27932	1	0	NULL	1653974289
207	189	36859	1	0	NULL	1654057558
208	189	30263	1	0	NULL	1654062585
209	189	31989	1	0	NULL	1654077248
210	189	36988	1	0	NULL	1654080014
211	189	36888	1	0	NULL	1655188914
212	189	30526	1	0	NULL	1654094791
213	189	36659	1	0	NULL	1654137750
214	189	36920	0	0	NULL	1656066942
215	189	35424	1	0	NULL	1654155791
216	63	13996	1	0	NULL	1654185858
217	65	13996	1	0	NULL	1654185903
218	64	13996	1	0	NULL	1654185905
219	62	13996	1	0	NULL	1654185907
220	61	13996	1	0	NULL	1654185909
221	60	13996	1	0	NULL	1654185912
222	59	13996	1	0	NULL	1654185913
223	58	13996	1	0	NULL	1654185915
224	57	13996	1	0	NULL	1654185916
225	83	13996	1	0	NULL	1654185918
226	56	13996	1	0	NULL	1654185919
227	82	13996	1	0	NULL	1654185920
228	55	13996	1	0	NULL	1654185921
229	81	13996	1	0	NULL	1654185921
230	54	13996	1	0	NULL	1654185924
231	80	13996	1	0	NULL	1654185927
232	53	13996	1	0	NULL	1654185928
233	79	13996	1	0	NULL	1654185929
234	78	13996	1	0	NULL	1654185931
235	52	13996	1	0	NULL	1654185931
236	77	13996	1	0	NULL	1654185932
237	76	13996	1	0	NULL	1654185933
238	75	13996	1	0	NULL	1654185934
239	51	13996	1	0	NULL	1654185934
240	72	13996	1	0	NULL	1654185935
241	73	13996	1	0	NULL	1654185936
242	74	13996	1	0	NULL	1654185938
243	50	13996	1	0	NULL	1654185939
244	71	13996	1	0	NULL	1654185940
245	70	13996	1	0	NULL	1654185941
246	69	13996	1	0	NULL	1654185942
247	33	13996	1	0	NULL	1654185943
248	32	13996	1	0	NULL	1654185945
249	31	13996	1	0	NULL	1654185945
250	30	13996	1	0	NULL	1654185946
251	29	13996	1	0	NULL	1654185947
252	84	13996	1	0	NULL	1654186079
253	85	13996	1	0	NULL	1654186082
254	86	13996	1	0	NULL	1654186083
255	87	13996	1	0	NULL	1654186084
256	88	13996	1	0	NULL	1654186086
257	89	13996	1	0	NULL	1654186087
258	90	13996	1	0	NULL	1654186088
259	91	13996	1	0	NULL	1654186089
260	92	13996	1	0	NULL	1654186091
261	93	13996	1	0	NULL	1654186092
262	94	13996	1	0	NULL	1654186095
263	95	13996	1	0	NULL	1654186096
264	96	13996	1	0	NULL	1654186097
265	97	13996	1	0	NULL	1654186098
266	98	13996	1	0	NULL	1654186100
