id	h5pactivityid	userid	timecreated	timemodified	attempt	rawscore	maxscore	scaled	duration	completion	success
1	50	67	1651040952	1651040953	1	32	33	0.96970	167	1	0
2	50	29246	1651756943	1651756943	1	33	33	1.00000	208	1	1
3	1	29250	1651757372	1651757372	1	5	5	1.00000	30	1	1
4	50	29256	1651758014	1651758015	1	32	33	0.96970	729	1	0
5	50	29263	1651758421	1651758422	1	31	33	0.93939	294	1	0
6	50	29263	1651758625	1651758626	2	33	33	1.00000	175	1	1
7	50	29273	1651758845	1651758845	1	31	33	0.93939	373	1	0
8	50	29273	1651759011	1651759011	2	33	33	1.00000	539	1	1
9	50	29288	1651759786	1651759786	1	28	33	0.84848	723	1	0
10	50	29288	1651759946	1651759946	2	33	33	1.00000	883	1	1
11	50	29320	1651760135	1651760135	1	32	33	0.96970	330	1	0
12	50	29355	1651762484	1651762485	1	32	33	0.96970	263	1	0
13	50	29402	1651762839	1651762840	1	33	33	1.00000	319	1	1
14	50	29440	1651762963	1651762964	1	28	33	0.84848	325	1	0
15	53	29440	1651763394	1651763394	1	32	33	0.96970	235	1	0
16	30	29377	1651764106	1651764106	1	8	8	1.00000	25	1	1
17	50	29308	1651765912	1651765912	1	31	33	0.93939	455	1	0
18	50	29330	1651768443	1651768444	1	30	33	0.90909	175	1	0
19	50	29374	1651769379	1651769379	1	28	33	0.84848	241	1	0
20	50	29339	1651770984	1651770985	1	32	33	0.96970	396	1	0
21	50	29339	1651771341	1651771342	2	32	33	0.96970	210	1	0
22	50	29324	1651797634	1651797634	1	25	33	0.75758	230	1	0
23	50	29573	1651817958	1651817958	1	13	33	0.39394	513	1	0
24	50	29594	1651818042	1651818042	1	18	33	0.54545	306	1	0
25	50	29582	1651818067	1651818067	1	7	33	0.21212	391	1	0
26	50	29579	1651818179	1651818179	1	14	33	0.42424	369	1	0
27	50	29585	1651818252	1651818252	1	16	33	0.48485	441	1	0
28	50	29584	1651818268	1651818268	1	13	33	0.39394	591	1	0
29	50	29588	1651818348	1651818348	1	16	33	0.48485	629	1	0
30	50	29596	1651818365	1651818365	1	16	33	0.48485	576	1	0
31	50	29580	1651818378	1651818378	1	17	33	0.51515	693	1	0
32	50	29586	1651818415	1651818415	1	8	33	0.24242	462	1	0
33	50	29587	1651818419	1651818420	1	24	33	0.72727	734	1	0
34	50	29571	1651818490	1651818490	1	25	33	0.75758	700	1	0
36	50	29598	1651818549	1651818549	1	22	33	0.66667	560	1	0
37	50	29588	1651818583	1651818583	2	19	33	0.57576	181	1	0
38	50	29576	1651818584	1651818584	1	29	33	0.87879	961	1	0
39	50	29593	1651818770	1651818770	1	12	33	0.36364	960	1	0
40	50	29579	1651818791	1651818792	2	5	33	0.15152	307	1	0
41	50	29570	1651818873	1651818874	1	26	33	0.78788	1195	1	0
42	50	29590	1651818956	1651818956	1	23	33	0.69697	652	1	0
43	50	29609	1651818981	1651818982	1	26	33	0.78788	343	1	0
44	50	29606	1651818982	1651818982	1	15	33	0.45455	500	1	0
45	50	29577	1651818986	1651818987	1	30	33	0.90909	646	1	0
46	50	29601	1651819004	1651819004	1	22	33	0.66667	870	1	0
47	50	29603	1651819014	1651819015	1	11	33	0.33333	363	1	0
48	50	29606	1651819085	1651819085	2	17	33	0.51515	73	1	0
49	50	29600	1651819091	1651819091	1	24	33	0.72727	990	1	0
50	50	29598	1651819145	1651819146	2	23	33	0.69697	1157	1	0
51	50	29612	1651819148	1651819148	1	17	33	0.51515	420	1	0
52	50	29601	1651819241	1651819241	2	22	33	0.66667	180	1	0
