"model: gpt 3.5

prompts:
1. Come up with 10 scenario Multiplication question that is similar to this question: Ruba buys 5 books for Rf 45 each. How much does she pay to shopkeeper? with 4 options don't use books and a shopkeeper in your generated examples
2. now generate 10 questions that are similar except use division, subtraction, or addition
3. now, put all of your creations in a table, with a column for the question, a column for the answer choices, a column for the answer, a column for the operation used, and the number of answer choices
4. add a column for the mathematical equation used to find the answer <-- saw a multiplication error, so we asked it to check the answers
5. now create it again with all of your answers checked",,,,,
Question,Answer Choices,Answer,Operation,Equation,# of Choices
Ruba buys 5 books for Rf 45 each. How much does she pay?,a) Rf 200 b) Rf 225 c) Rf 225 d) Rf 250,b) Rf 225,Multiplication,5 x 45,4
Sara purchases 8 pencils for Rf 10 each. How much does she pay in total?,a) Rf 80 b) Rf 90 c) Rf 100 d) Rf 110,a) Rf 80,Multiplication,8 x 10,4
A farmer sells 12 bags of apples for Rf 30 each. What is the total amount he receives?,a) Rf 240 b) Rf 300 c) Rf 360 d) Rf 420,b) Rf 300,Multiplication,12 x 30,4
A teacher gives 15 students 3 chocolates each. How many chocolates were given in total?,a) 45 b) 30 c) 25 d) 20,a) 45,Multiplication,15 x 3,4
"A construction worker lays 9 bricks in a row, and there are 25 rows. How many bricks did he lay in total?",a) 234 b) 216 c) 225 d) 243,b) 216,Multiplication,9 x 25  ,4
"A store sells 18 packets of chips, and each packet contains 50 chips. How many chips did the store sell in total?",a) 800 b) 900 c) 1000 d) 1100,c) 900,Multiplication,18 x 50  ,4
"A company hires 7 workers, and each worker works 6 hours a day for 5 days a week. How many total work hours are completed in a week?",a) 160 b) 175 c) 180 d) 195,b) 175,Multiplication,7 x 6 x 5  ,4
"A school has 20 classes, and each class has 35 students. How many students are there in total?",a) 700 b) 750 c) 800 d) 850,c) 700,Multiplication,20 x 35  ,4
"A restaurant sells 15 pizzas per day, and each pizza costs Rf 50. What is the total amount earned by the restaurant in 5 days?",a) Rf 3750 b) Rf 4000 c) Rf 4250 d) Rf 4500,b) Rf 3750,Multiplication,15 x 50 x 5,4
"prompt:
create a table with the following columns: question, answer choices, answer, calculation, operation

the questions should have a similar style to this question: ""Ruba buys 5 books for Rf 45 each. How much does she pay to shopkeeper?"" except using a variety of math operations like addition, subtraction, multiplication, and division.

give 4 answer choices, A, B, C, and D

the calculation should show how you got to the answer, WITHOUT the answer in it",,,,,
"A recipe calls for 3 cups of sugar, and you want to make half of the recipe. How many cups of sugar do you need?",a) 0.5 b) 1 c) 1.5 d) 2,b) 1,Multiplication,3 x 0.5,4
Ali has 20 marbles and he loses 8 of them. How many marbles does he have now?,a) 8 b) 12 c) 16 d) 18,d) 12,Subtraction,20 - 8,4
"A company has 500 employees, and they need to cut 20% of their workforce. How many employees will be laid off?",a) 50 b) 100 c) 200 d) 250,c) 100,Multiplication,500 x 0.2,4
"A rectangular box is 20 cm long, 15 cm wide, and 10 cm high. What is its volume?",a) 3000 cm³ b) 2000 cm³ c) 1500 cm³ d) 1000 cm³,b) 3000 cm³,Multiplication,20 x 15 x 10,4
"If a store offers a discount of 15% off a shirt that originally costs Rf 60, how much will the shirt cost with the discount?",a) Rf 45 b) Rf 51 c) Rf 54 d) Rf 57,c) Rf 51,Subtraction,Rf 60 x 0.15,4
"A family is driving to a city that is 120 km away, and they travel at a speed of 60 km/h. How long will it take them to reach the city?",a) 2 h b) 3 h c) 4 h d) 5 h,b) 2 h,Division,120 / 60,4
"A company makes a profit of Rf 5000 in a year, and their expenses are Rf 3500. What is their net profit?",a) Rf 1500 b) Rf 2500 c) Rf 3500 d) Rf 4500,b) Rf 1500,Subtraction,Rf 5000 - Rf 3500,4
"A school has 24 students in a class, and they need to form groups of 4. How many groups can they form?",a) 4 b) 6 c) 8 d) 10,c) 6,Division,24 / 4,4
"A company earns Rf 5000 in revenue, and their expenses are Rf 2500. What is their profit?",a) Rf 2500 b) Rf 3500 c) Rf 4500 d) Rf 5500,a) Rf 2500,Subtraction,Rf 5000 - Rf 2500,4
A bookstore sells 100 notebooks for Rf 5 each. How much do they earn from selling all the notebooks?,a) Rf 50 b) Rf 500 c) Rf 5000 d) Rf 50000,b) Rf 500,Multiplication,100 x Rf 5,4
"A recipe calls for 2 eggs and makes 6 muffins. If you want to make 24 muffins, how many eggs do you need?",a) 6 b) 8 c) 12 d) 16,d) 16,Multiplication,2 x 8,4
"If a store sells 3 pencils for Rf 2, how much will 10 pencils cost?",a) Rf 3 b) Rf 5 c) Rf 6 d) Rf 7,c) Rf 6,Multiplication and Division,Rf 2 x 10 / 3,4
A garden is 15 m long and 12 m wide. What is its area?,a) 180 m² b) 165 m² c) 150 m² d) 120 m²,a) 180 m²,Multiplication,15 x 12,4
"A company produces 5000 units of a product every day, and they operate for 5 days a week. How many units are produced in a month?",a) 100000 b) 125000 c) 150000 d) 175000,b) 125000,Multiplication,5000 x 5 x 4,4
"A jacket originally costs Rf 80, but it's on sale for 30% off. How much will it cost with the discount?",a) Rf 24 b) Rf 56 c) Rf 64 d) Rf 72,b) Rf 56,Multiplication and Subtraction,"Rf 80 x 0.3, Rf 80 - (Rf 80 x 0.3)",4
A square has an area of 49 cm². What is its perimeter?,a) 7 cm b) 14 cm c) 21 cm d) 28 cm,b) 14 cm,Multiplication,4 x (49**0.5),4
"If a store sells 10 pens for Rf 5, how much will 3 pens cost?",a) Rf 1.5 b) Rf 2 c) Rf 2.5 d) Rf 3,c) Rf 2.5,Multiplication and Division,Rf 5 x 3 / 10,4
"A store has a sale, with a discount of 20% off all items. If an item originally costs Rf 50, how much will it cost with the discount?",a) Rf 10 b) Rf 20 c) Rf 30 d) Rf 40,d) Rf 40,Multiplication and Subtraction,"Rf 50 x 0.2, Rf 50 - (Rf 50 x 0.2)",4
A triangle has a base of 12 cm and a height of 6 cm. What is its area?,a) 6 cm² b) 12 cm² c) 24 cm² d) 36 cm²,c) 24 cm²,Multiplication and Division,12 x 6 / 2,4
"If a store sells 4 chocolates for Rf 10, how much will 12 chocolates cost?",a) Rf 20 b) Rf 30 c) Rf 40 d) Rf 50,b) Rf 30,Multiplication and Division,Rf 10 x 12 / 4,4
"A store has 30% off all items for a sale. If an item originally costs Rf 40, how much will it cost with the discount?",a) Rf 12 b) Rf 16 c) Rf 24 d) Rf 28,c) Rf 24,Multiplication and Subtraction,"Rf 40 x 0.3, Rf 40 - (Rf 40 x 0.3)",4
