English Phoneme,Example Nouns
/i:/,"""beet"", ""feet"", ""meat"", ""sleet"", ""glee"""
/ɪ/,"""bin"", ""pin"", ""kit"", ""fin"", ""lit"""
/e/,"""bed"", ""red"", ""shed"", ""fed"", ""led"""
/æ/,"""bat"", ""cat"", ""hat"", ""rat"", ""mat"""
/ʌ/,"""bug"", ""rug"", ""mug"", ""hug"", ""dug"""
/ɒ/,"""pot"", ""hot"", ""lot"", ""dot"", ""not"""
/əʊ/,"""toe"", ""foe"", ""doe"", ""woe"", ""bow"""
/ɑ:/,"""car"", ""bar"", ""star"", ""jar"", ""scar"""
/ɔ:/,"""fork"", ""pork"", ""cork"", ""stork"", ""york"""
/ʊ/,"""book"", ""hook"", ""look"", ""nook"", ""cook"""
/u:/,"""moon"", ""spoon"", ""dune"", ""tune"", ""fluke"""
/aɪ/,"""bike"", ""pike"", ""dike"", ""hike"", ""spike"""
/aʊ/,"""cow"", ""how"", ""bow"", ""plow"", ""sow"""
/ɔɪ/,"""boy"", ""toy"", ""joy"", ""ploy"", ""coy"""
/eɪ/,"""cake"", ""rake"", ""take"", ""lake"", ""flame"""
/əʊ/,"""toe"", ""foe"", ""doe"", ""woe"", ""blow"""
/ɪə/,"""deer"", ""pier"", ""sheer"", ""steer"", ""beer"""
/eə/,"""bear"", ""pear"", ""tear"", ""swear"", ""hare"""
/ʊə/,"""lure"", ""cure"", ""tour"", ""pure"", ""jure"""
/p/,"""pet"", ""lap"", ""top"", ""hop"", ""lip"""
/b/,"""bat"", ""rub"", ""bin"", ""gab"", ""cab"""
/t/,"""top"", ""hat"", ""bat"", ""mat"", ""pot"""
/d/,"""dog"", ""lid"", ""bed"", ""rod"", ""bud"""
/k/,"""cat"", ""kick"", ""lock"", ""dock"", ""neck"""
/g/,"""goat"", ""bag"", ""log"", ""rug"", ""peg"""
/tʃ/,"""chick"", ""chess"", ""check"", ""catch"", ""latch"""
/dʒ/,"""gem"", ""edge"", ""fudge"", ""dodge"", ""badge"""
/f/,"""fish"", ""off"", ""puff"", ""leaf"", ""calf"""
/v/,"""veil"", ""cave"", ""love"", ""pave"", ""wave"""
/θ/,"""moth"", ""bath"", ""path"", ""cloth"", ""myth"""
/ð/,"""bath"", ""with"", ""booth"", ""forth"", ""smooth"""
/s/,"""sun"", ""less"", ""grass"", ""mass"", ""boss"""
/z/,"""zoo"", ""buzz"", ""haze"", ""gauze"", ""doze"""
/ʃ/,"""shoe"", ""fish"", ""bash"", ""wish"", ""flash"""
/ʒ/,"""rouge"", ""mirage"", ""garage"", ""beige"", ""lodge"""
/h/,"""hat"", ""hut"", ""hall"", ""hill"", ""hive"""
/m/,"""man"", ""mom"", ""gum"", ""rim"", ""mop"""
/n/,"""net"", ""pin"", ""can"", ""hen"", ""bin"""
/ŋ/,"""sing"", ""ring"", ""wing"", ""king"", ""long"""
/l/,"""leg"", ""ball"", ""bell"", ""call"", ""fall"""
/r/,"""rat"", ""run"", ""rod"", ""red"", ""rain"""
/j/,"""yacht"", ""yard"", ""yolk"", ""yen"", ""yam"""
/w/,"""win"", ""wax"", ""wig"", ""web"", ""wool"""
